dataset,lang,mode,target_repo,target_config,target_split,pairs,source_repo,source_config,source_split,note
TREC iKAT 2023,fr,source_compare,DeepPavlov/iKAT_2023_fr,queries,test,utterance->utterance; text->text,DeepPavlov/iKAT_2023,queries,test,
DialogSum,ru,self_suffix,DeepPavlov/dialogsum_ru,test,train,dialogue->dialogue_ru; summary->summary_ru; topic->topic_ru; dialog->dialog_ru,DeepPavlov/dialogsum_ru,test,train,
DialogSum,ru,self_suffix,DeepPavlov/dialogsum_ru,train,train,dialogue->dialogue_ru; summary->summary_ru; topic->topic_ru; dialog->dialog_ru,DeepPavlov/dialogsum_ru,train,train,
DialogSum,ru,self_suffix,DeepPavlov/dialogsum_ru,validation,train,dialogue->dialogue_ru; summary->summary_ru; topic->topic_ru; dialog->dialog_ru,DeepPavlov/dialogsum_ru,validation,train,
DialogSum,es,source_compare,DeepPavlov/dialogsum_es,default,train,dialogue->dialogue; summary->summary; topic->topic; dialog->dialog,DeepPavlov/dialogsum,default,train,
DialogSum,es,source_compare,DeepPavlov/dialogsum_es,default,validation,dialogue->dialogue; summary->summary; topic->topic; dialog->dialog,DeepPavlov/dialogsum,default,validation,
DialogSum,es,source_compare,DeepPavlov/dialogsum_es,default,test,dialogue->dialogue; summary->summary; topic->topic; dialog->dialog,DeepPavlov/dialogsum,default,test,
DialogSum,fr,source_compare,DeepPavlov/dialogsum_fr,default,train,dialogue->dialogue; summary->summary; topic->topic; dialog->dialog,DeepPavlov/dialogsum,default,train,
DialogSum,fr,source_compare,DeepPavlov/dialogsum_fr,default,validation,dialogue->dialogue; summary->summary; topic->topic; dialog->dialog,DeepPavlov/dialogsum,default,validation,
DialogSum,fr,source_compare,DeepPavlov/dialogsum_fr,default,test,dialogue->dialogue; summary->summary; topic->topic; dialog->dialog,DeepPavlov/dialogsum,default,test,
